customerID,gender,SeniorCitizen,Partner,Dependents,Full Name,Email Address,Home Address,Social Security Number,Credit Card Number,Marketing Segment
9763-GRSKD,Male,0,Yes,Yes,VzuBMCpPGM,YHgDeJeuzV@example.com,tpIxWRZEmCFVoED St,INo-Rs-OHxj,ckaVibVnNyZjQnls,fWJKWyLgeT
7469-LKBCI,Male,0,No,No,vRPkXhTGLW,pzlApJMQdt@example.com,sxihuaMxkuGcYAF St,NEU-GV-clbe,ZrLJkkgSaYUBpEVb,KoaLmZXzDl
8091-TTVAX,Male,0,Yes,No,ToCgGrvyEt,ImDBfSMCeR@example.com,MzQmfzTdlVywAID St,CEo-jK-KCtU,TLGCxUulPKxNHmLX,FyWNseyyeG
0280-XJGEX,Male,0,No,No,IwOJyzELsj,LDUxBVkPjM@example.com,bBtLLkFczZMGlHk St,nBO-Jl-IxIJ,NJaoWotQzMWuuAIK,RaMsxqqjiC
5129-JLPIS,Male,0,No,No,wpcUgTpSws,IsUDjwTxSG@example.com,uCIoxVXtgmsjgeq St,pxA-hM-lBMD,tqizbZBlwKMBSLba,BGiHGMWblC
3655-SNQYZ,Female,0,Yes,Yes,OipUQZZdHc,fbeaaTHPpU@example.com,xVFuLdnkSQKmNhy St,RoQ-Gh-MHAZ,bZyeRWbtWyndnKgJ,Orqgbtnacp
8191-XWSZG,Female,0,No,No,fwzMHBSqcz,wGjwzJJmIk@example.com,FSmAHMlmjSAiXwW St,Dmk-wE-lTqc,EdWdQhRhbhMXkrRO,HJwtITLQQw
9959-WOFKT,Male,0,No,Yes,GpEvRIfgMK,rCmvwMeYKR@example.com,MGBFITmErzEXLKw St,kdO-RY-KtEX,dXDYyNyqQuBONdga,XniEEmUSFP
4190-MFLUW,Female,0,Yes,Yes,yBqTdTwtpM,dyRXSPaYjM@example.com,tYKDWqeWXtcEeiF St,JCm-GY-HuEW,pahkSxSHHcnGaLng,PvCEqFLcWB
4183-MYFRB,Female,0,No,No,JRGzRBxDYr,GpPLSikHVo@example.com,HFKhttcTXfSFdzg St,NzV-GW-UNZf,kAXMpwMryNIokKOW,uMOIuMLiKn
8779-QRDMV,Male,1,No,No,cVNvkTxDDd,bpCKJAtnhp@example.com,gYDRGVJClxEweGS St,jUY-VW-BPWP,PUkBmBNXbbhbGpFE,snJLQZQfoY
1680-VDCWW,Male,0,Yes,No,vYXyPvXUeE,CfvBFioikk@example.com,PnhqiZOHalbJjqm St,qmz-rR-dNNa,DeAvyDNiTzxnZMSV,sWIUIJlWVw
1066-JKSGK,Male,0,No,No,YwRGLlOIVL,AhtTimGwBQ@example.com,rQhANqBRJBijTJE St,dOy-Qu-gwvt,yguPASuPrYnJVSvl,rjaAarVevS
3638-WEABW,Female,0,Yes,No,BBhqxYmIdf,LnRUFnVvaB@example.com,NKtYcWGJeyegykp St,ZCw-sp-GnCv,TbTSssEgxZchdHMG,szTMoQDafo
6322-HRPFA,Male,0,Yes,Yes,EsRyEkwheX,OUvSYfWNns@example.com,zEKxfaIdBbDDojb St,WqS-gl-Cqqv,iSPmBaVUYVJHMOAZ,ELTUiImCEW
6865-JZNKO,Female,0,No,No,ljdgRRCBFJ,kTmXanPFfl@example.com,pqcsCnuRnxCrZcf St,gsX-YH-TmzF,sgzFDaqSchcXlQiY,QunOZBtaac
6467-CHFZW,Male,0,Yes,Yes,boFwGrwwLm,jvGxaBZoDB@example.com,uGYQCUtPxyuKLDr St,yLY-eG-UsEo,KeUSMBPjKOVFQyCf,AmXfcIJKsw
8665-UTDHZ,Male,0,Yes,Yes,XnhBFqSzKx,UcWbOZyLPt@example.com,cdkAaMEWkaZYqrL St,ghD-ay-dpVl,PPqkJOBTmUWZeffy,IjjDrymQhe
5248-YGIJN,Male,0,Yes,No,SRQoVlfnAt,vFQONbkGxp@example.com,DihQJMWmyTeUtxh St,yrp-Zw-DoUx,eMJQntVUkZAmgpdV,gyViDfLDuq
8773-HHUOZ,Female,0,No,Yes,bHjovLLDVC,ZkYnenXYlb@example.com,ljWKYQfaCLykxNG St,GGZ-uG-VFFD,qNHriVLLoDkZLBvA,MgjkkUxqcV
3841-NFECX,Female,1,Yes,No,RkJjLJNtdT,iIjuEZzbxR@example.com,VQHOgPOKrKXXkMe St,Zvp-Ol-VMbc,rPJxpXayJRJMKwox,VEpKUoqxQg
4929-XIHVW,Male,1,Yes,No,SQiByFwbAk,OMpMuynqDc@example.com,EWuuQeGAixaRyAu St,bTg-mo-vzCA,SMQQeNUazGnsSvlt,ShBtqlOMcA
6827-IEAUQ,Female,0,Yes,Yes,GIMmefrjul,qyDDVJrJiO@example.com,njccBSwpfgTKAUG St,rRT-fq-tAOF,dKXQKGBUJdCmlEBh,dHSvCxglMj
7310-EGVHZ,Male,0,No,No,MXVvDomUOb,XtWfApiSnI@example.com,KyODcXAQQBFLYFt St,Dbg-Te-cKkm,vHORqakTbRrKOKWC,OKAGsoiZwy
3413-BMNZE,Male,1,No,No,qGEYEtkNVj,oyfsbWyAor@example.com,EnKbATuQqSJLjYe St,WFQ-jX-vFZP,LzkZxvtFbeHQKvGX,MgqWehVqAo
6234-RAAPL,Female,0,Yes,Yes,WbTtnUSxwm,hRGfFEIQFL@example.com,SsTJoUJdUHhcqlM St,Ixv-zc-qVUK,GIkDEBWLXuPYzBsC,oejLDKXAUY
6047-YHPVI,Male,0,No,No,MLwQyQUTrc,SzTsHQrqia@example.com,zZxYPZbhDnvJyBk St,BoK-GS-yYPF,kJQyuFRqdcRGLxPC,ZvNygWrwNt
6572-ADKRS,Female,0,No,No,NvoBPtsQOU,zeCeeDrfCU@example.com,mGzlKpAIXLFLPHh St,SYb-gW-KHZm,GjAoYLIVpTeEVJGi,vlFBJaAlZt
5380-WJKOV,Male,0,No,No,QuURjsWArC,IJwPZwZSjS@example.com,knOWosFPaDfGIdJ St,BtR-zl-rmVS,TvSHhIEaZgFuyTVX,mukfVOESbo
8168-UQWWF,Female,0,No,No,NSFqHVoEqO,AQZLfpNVhZ@example.com,nmrsYdPABpzCIUP St,nvd-yK-QOYA,CnYcFEutZZvkPrhy,UpNdYDUydz
8865-TNMNX,Male,0,Yes,Yes,aMcQRpRIbQ,tPAFwHyHdr@example.com,dpJKDONMYYFTMRP St,NXW-aM-CaJt,YXKAcKLtSjweVWbE,mIHboxjarl
9489-DEDVP,Female,0,Yes,Yes,JZBSobAmzL,RVVsUtjdcW@example.com,ySMUNXXptBTekvG St,WBP-iC-eNkQ,THZGYFGsiaLhDgeV,IXRZyCNlXS
9867-JCZSP,Female,0,Yes,Yes,fWwLekQife,nQMvQovNhN@example.com,ZRvsEyeyVSaiOaG St,SjD-sj-VrAx,WBQgnQXKoGaLqhzN,mQZuoFpeup
4671-VJLCL,Female,0,No,No,wrOdRDYEsh,HpdudJGFsz@example.com,jouPXVnLrmgckGs St,GtS-Ul-ERyS,cMiAvPAEDbnJNRtB,meqkkFLBZm
4080-IIARD,Female,0,Yes,No,YMIisHzBvM,OxyquJKYQK@example.com,KMslbFZKSpdGQne St,Ogw-BJ-Ynul,yfDtefewbzWBBITL,CexGueUGNk
3714-NTNFO,Female,0,No,No,UbYlpCsDeR,wvMkIxqUun@example.com,KvjOtkLqwozcxrn St,Rcm-Qq-ClSz,yenknjUInPmkgmFu,efvpqgQJIK
5948-UJZLF,Male,0,No,No,ZXVxyHmPJH,sSsVPnGTsl@example.com,IATWXdueKnTdsIj St,kYV-Df-ISXW,aQsGclSIkBrREqkQ,rdpWOeryxH
7760-OYPDY,Female,0,No,No,ktxamsfZUh,FTfXLBSTKH@example.com,vKEeuIHkjgJopQF St,bPt-sK-jZrk,uBwGZloTrJpBculw,AXCAsyoLFK
7639-LIAYI,Male,0,No,No,LMHiFUBIyB,TWWqEcwbLK@example.com,VxmTZZBhAgUzejz St,IJy-sP-WRMa,YpeciMRkgTqVFiEL,GUAyOjXQSm
2954-PIBKO,Female,0,Yes,Yes,PkWfWznFuh,IyyoabFnRz@example.com,HsSiYcwXSREboCq St,ZYD-zS-ubcd,TQIERgFHiRlGVMCf,oUeqKYiWlE
8012-SOUDQ,Female,1,No,No,SHCSLGqstC,fAeJCCobzM@example.com,dMGsbWblXzbXcXC St,apC-hz-Glnm,GUGUujOVRuugimqw,jExLGKwxlk
9420-LOJKX,Female,0,No,No,aXepCHOWLT,eqBnhxjIFf@example.com,AyfwMFPhrrQNXxw St,guz-Cc-wnqL,syXVvHUgWNrzrOdn,TidecQJbcX
6575-SUVOI,Female,1,Yes,No,gtQZutxonJ,HQYziuCesV@example.com,UsxxvcqAxSptYva St,yRR-PO-RZRo,djkyKTiTKAKrJJPm,AqcsgUcZNr
7495-OOKFY,Female,1,Yes,No,zFRzODochA,WoWqhXduAq@example.com,ELcueSEHeSAMACt St,nzJ-Ja-lMpW,kBkIYiTyXcowzZmo,efFrSmSqNp
4667-QONEA,Female,1,Yes,Yes,bSmzUbtTEJ,OyoKaYgDuY@example.com,aoXKiSuhuIuETpx St,WrE-ML-vqHx,oEJUVzAdtZILGISQ,dGtuZOqyOX
1658-BYGOY,Male,1,No,No,WnpiQAtlyw,nWvbGjHBzL@example.com,SOPzJppsqZxuUuY St,mOM-xD-eeBR,SSCHszAycEsNQFRj,yGGAvlKzFG
8769-KKTPH,Female,0,Yes,Yes,knguEkujCl,bwIesjOlIX@example.com,zHPUzSRrQGRaYhl St,eow-rW-UXDm,eZQOFoAGxzMqTlFx,dmzEBaHoAK
5067-XJQFU,Male,1,Yes,Yes,BDgRnvReGq,SnNzMbDBDR@example.com,SFfjKadvnXmFhEq St,ckR-uR-ZvXr,nHfZKMjxGDUUgFuJ,sOYwnNduYu
3957-SQXML,Female,0,Yes,Yes,myOOLQVogX,YriWQZgrym@example.com,QwmrwmWJMYjdEff St,qud-Uw-FscM,ycUaCFgsHBccpkAj,zNcREfGboJ
5954-BDFSG,Female,0,No,No,CVDXlFLpBe,RDyWMSPNre@example.com,aguiGdzSDiYIhry St,ghd-xK-bOzD,yrwGuJijyiDaIeJM,VxYllyuUxu
0434-CSFON,Female,0,Yes,No,fRaEWwQxcO,JHOSquanYH@example.com,AmkJGEOpKQeRZRe St,RsS-kY-aXsY,vBlRJSceuTsOVlTX,xjOQIgIraP
1215-FIGMP,Male,0,No,No,QTFslwZbYe,CQyZmEvvQi@example.com,JwlYehFgGsEZEAD St,OoH-WM-yCVu,XkIDWdSSBlLmkvPn,hAnXHIwgLu
0526-SXDJP,Male,0,Yes,No,DJNaFqGHdn,taAOBGBNQd@example.com,aMGFSsMhIoBWXxk St,TxZ-Ic-ncRE,npalpVGmjRhrReiN,kvjBUGyDPa
0557-ASKVU,Female,0,Yes,Yes,UZdymcOyzL,dTKFWFuWyl@example.com,CvAvhRvXMbeoeDO St,AqN-yw-PsXs,SjObwUrANsPKdEYs,xjhhIQbJtG
5698-BQJOH,Female,0,No,No,FPhgFyhZJH,hcDKJQSeHo@example.com,xzHLZJGAZkAvlbr St,svp-ln-MJhx,jvQhrvmBunyMbTSi,YRKDYlCLSh
5122-CYFXA,Female,0,No,No,cUCVQVqVyi,CebagQaoye@example.com,QaeRBEZVIeGBOQh St,lpS-TF-ZHAa,EFxkraKGEuWBuyqJ,EKMLXaUfLL
8627-ZYGSZ,Male,0,Yes,No,YCcNlAaPqn,LMFVEvWEeH@example.com,YUhJcbbJuXFYTHl St,ROa-OE-rQVq,vsyDCWfkLPDdjXNx,oVOsykvEzB
3410-YOQBQ,Female,0,No,No,lvQgbafoVq,HpvYRQDFPo@example.com,PKMDdesDNCJpPLy St,tqu-Qj-AMZR,XORZgompKtBZiSHz,TnwGVYavBL
3170-NMYVV,Female,0,Yes,Yes,LUKPakFegq,OYVrvCtSLi@example.com,XTfbYVFcarBdwGz St,Ifa-XJ-ulMT,QVCcpzZxrBCcjnVz,dSGuUpUSaO
7410-OIEDU,Male,0,No,No,PrvjtxzVKq,GKNLsZuanX@example.com,DuGUlFMutlgSbWJ St,xXv-Pm-jZYc,xPgYClnCAPYLAjLT,yRXQOeDyvE
2273-QCKXA,Male,0,No,No,KsjmTQhaNX,JugflYVvuO@example.com,XRHePKYDghoQRmP St,KFI-St-ViCD,pqCAXqHFiuyUKWyd,KWPpDfppHi
0731-EBJQB,Female,0,Yes,Yes,CChcETDsUD,RhbXiQJQBJ@example.com,RWotfWbcaQyQxbV St,WXh-ok-OSbc,iQcAqBPVtEsEKmvx,CnMryogjbv
1891-QRQSA,Male,1,Yes,Yes,pwRmxbqVYJ,XRjYLsufnA@example.com,tffPlzzHNlJfHPG St,bYY-nI-oZFl,hYwIJUWnzKikFgZd,IEdfnauuQM
8028-PNXHQ,Male,0,Yes,Yes,nhCMwvqqrI,dzyYKZnBbC@example.com,bmUJETSlRVPjHlP St,MxN-rV-ChQO,ZPLibUenfEpbAICL,RYKILtjAzj
5630-AHZIL,Female,0,No,Yes,GsUmdCCkRH,LffgOCUvrt@example.com,MAVnFWndueRvHMX St,CPp-cB-tAHS,EUsRjPTgcZiZnPdj,kvFBDmxmLL
2673-CXQEU,Female,1,No,No,XLdMyxCdfw,qIHSxXNEiU@example.com,eXryCnBuRTwdUlt St,SrA-WF-gfzD,SxJDTnaaNYtzJUMy,mUYnAewMuf
6416-JNVRK,Female,0,No,No,RTqOuzhXFR,BCBESlQKDC@example.com,crABPhazizbblsj St,PWG-xL-QIjg,ejfgprNgOtEpMlcX,eBjqEUYlzK
5590-ZSKRV,Female,0,Yes,Yes,ghWBkCkBSX,rMWzQwBPpF@example.com,uyWHoKqVZbYccLR St,oOg-Ea-EHvk,bAjfJRSxQtEvJXzp,JODsYslewc
0191-ZHSKZ,Male,1,No,No,ScUbPoRnZZ,tWlQCIOAXt@example.com,hmtDZYqMJeDjWFX St,zSW-aK-hXuF,picEzYEoBgrWnazD,evrsskDglR
3887-PBQAO,Female,0,Yes,Yes,vEsrGliuTB,PLoRVkiISm@example.com,QFWpsuCeYanbCUb St,svq-ii-ArRa,xkpZNRvoKvvYqCQW,OyOLIGNQIP
5919-TMRGD,Female,0,No,Yes,KpGcRvTvJZ,qEaowUuGHI@example.com,eYKBfbQiJyuvobg St,laN-dF-nOuR,GmXIjhtHMBgsdfJr,YsGfAfSeoL
8108-UXRQN,Female,0,Yes,Yes,RVbHFQJzKP,RpnIxEVarW@example.com,BbxWMIiIjpHkFoQ St,fYw-Xw-ctjP,HcYwHjkOwwCofobL,qFglAMbafM
9191-MYQKX,Female,0,Yes,No,OHuBcIwXgA,uCpnYKraXH@example.com,tdxUGswAbzbgDKt St,lWs-eY-FRGy,EeAaKfwguEtFPDIU,LkewJrlUIV
9919-YLNNG,Female,0,No,No,CrZguohdwT,rrTliLUXqn@example.com,RsLABOLLLWluOlL St,Twg-WB-hAIh,EwoysCOxaLNqQukC,KZMHkKGnvc
0318-ZOPWS,Female,0,Yes,No,zPwVLRCAOl,EEKPbJHFNS@example.com,SRSWfqBTkXbgAdN St,vUU-Iz-BQvS,zjADVcepVvtefpJK,NCHUZQaEfc
4445-ZJNMU,Male,0,No,No,fVwGXdfCaf,WiUmdKAcAm@example.com,KPNNxqZiAVaaxkQ St,wbu-Lz-Jemq,HEmewItzcVlFFOBS,AEznoYtIIE
4808-YNLEU,Female,0,Yes,No,VyHDkwuzOQ,YPDaVmCgGw@example.com,JZvFQxYUsBlivSv St,BlZ-ln-Iehs,msJaLYXRFhgPtgKp,RaUWSiRSSh
1862-QRWPE,Female,0,Yes,Yes,nnoKnshdwG,YrFjYBnHxQ@example.com,YmBzntgAGjuFlYt St,AIP-Yx-dYJU,KrRoexuahRBybEUY,fWtPRklZbZ
2796-NNUFI,Female,0,Yes,Yes,LoxUlULmct,ghfQmTkljN@example.com,JIxGFGoHpVBTPMN St,tpr-dV-OZLv,bPwrQiTGMnpOInRV,OasBELnkZi
3016-KSVCP,Male,0,Yes,No,tVvUTaGVCM,CYKeNVQovB@example.com,NMHccMxxiThXerZ St,FWa-bj-kyPh,nVoDrsNNnqmfvjnv,OACXOzoXEf
4767-HZZHQ,Male,0,Yes,Yes,BpzoSEEfTb,yUqjolhFDD@example.com,QJYZkTjtSEcxfWC St,oRY-OJ-HoSy,ctEdUSgYYMLmeMKl,WfPQJwXflm
2424-WVHPL,Male,1,No,No,vjFYVdKNUr,KyHzTffqgE@example.com,AWXjkNOGbDllHzd St,FFW-Fj-OnlI,yHnlxKscOgxgkLmc,sQTanjgWgz
7233-PAHHL,Male,0,Yes,Yes,HCOFlGejzt,EbVdgimKHa@example.com,NOFJHcmkxKGHeIr St,pRb-xP-ozlr,SvKeYgikgVYztuaV,ntADGiEphc
6067-NGCEU,Female,0,No,No,sOhsEKBcgw,lgcpbOZNZy@example.com,dCrwDanCVzdSJSv St,ibj-sZ-nJqO,TCrvsdHcEpfxHiBF,CibGmUivGu
9848-JQJTX,Male,0,No,No,nCcBMUkHhO,GDBFQRssgw@example.com,wcCeFvOhuOgAmuT St,viv-SX-yhGy,uefACTTgZWfqpnIW,XBfcPMSKUH
8637-XJIVR,Female,0,No,No,ZewTQphjDg,SvlkVseHYP@example.com,gsyzmEjflRZSFpz St,QFt-SV-KJuB,cJtsbZkxWrbUpzZf,skUdDoofcS
9803-FTJCG,Male,0,Yes,Yes,pEXQTCwRVt,NLMyiDejjk@example.com,KzSRutcOjyigbZp St,yTi-St-TzYO,sUpQSjrjZjbteZJY,wMvxsbelBt
0278-YXOOG,Male,0,No,No,niaoZLCKGw,CCLpUIeMki@example.com,NJDOXNYsIujJJIw St,xmQ-vv-UaXY,edQQmXSsewTghnwH,QllZpfaqgv
3212-KXOCR,Male,0,No,No,lEWycLBGTI,kqpUCScfEG@example.com,KmqHFaSlvitUZwU St,SNr-fh-NcLZ,LFYvEFbNWInWwMtd,hAEjZqOdSJ
4598-XLKNJ,Female,1,Yes,No,tfyZudvbtC,ltZOPkWUXp@example.com,KDyFTwZqFPiWkuv St,FUi-WD-Lhwn,rSQpRvmkZjKhBvSj,pYmSgdmCRT
6380-ARCEH,Male,0,No,No,avCFtpeABp,dTxSSmUtze@example.com,aGoiyCqJNtCLpDs St,yYE-WP-zPEP,LlqtVYQEVpNXyrHC,ivvzzPVTDN
3679-XASPY,Female,0,Yes,Yes,PgaCcsndfz,lluwpLFTZW@example.com,ZcdtnCFkDIwghFl St,qhb-vJ-gBVm,CdzyxGlcYYgQjClO,YkJmTKAzow
7123-WQUHX,Male,0,No,No,QSTmilDRIg,KTNgqdcFoy@example.com,ucsFGsmVFWCfgxq St,xia-Lk-NHKb,LqaUfkzdZVMLGDtZ,FwfOoMNCqn
5386-THSLQ,Female,1,Yes,No,cllbINPptK,JMCmJIorZe@example.com,lwEUuimyfDVqokT St,EiQ-Nl-ZFOd,qQYYZvRQSNkiZvoq,NUjjhXurAs
3192-NQECA,Male,0,Yes,No,zSWyyyGylh,BdkRLfgOBc@example.com,PyAWhREjKmGRprU St,lrv-Ze-MDaI,ZoHTPqZGcvXCZmEZ,zbTIxiRjFA
6180-YBIQI,Male,0,No,No,HhYFUEVMWN,IisuqdcFyc@example.com,aUziJLxZfsbyfah St,aPh-io-zvNK,pfWdpVnHHGXCEjmh,zvgdwlRBVk
6728-DKUCO,Female,0,Yes,Yes,bouqlOnDDv,ScgyRwDmPK@example.com,TKGEjqcpQsucziJ St,QOm-WF-xUid,whmmTBhCMDosdWnX,MKRubbRZkx
9750-BOOHV,Female,0,No,No,niwfIaCfmj,JpOzSzjHkp@example.com,czbJsTNstjuKRhC St,uMj-qQ-FMCe,ToyBgolOuNuloqcl,PXHqzRASCZ
8597-CWYHH,Male,0,No,No,JhlNQxtQar,qBQRYsmSZX@example.com,MpmuAFlvCailJDB St,Ieu-ip-cmFk,zWjwcLlvZJeWtdCe,yfhzjRTKsi
2848-YXSMW,Male,0,Yes,Yes,jpKVuvBPPa,SUjwHYxEHO@example.com,FiiIszBXsveiWvM St,xJG-oF-MEUi,OXxyxNhfItCXiaAh,YHyMBoiUWP
0486-HECZI,Male,0,Yes,No,qqgZYsDSXC,tnAqCkkIJC@example.com,rlVBwnyyRIBHeoO St,evi-lD-FJTo,RqFDmzqySHWUCaXC,sBqnhpSnhA
4549-ZDQYY,Female,0,No,No,FgLyaEnmsi,lODGhfvoXa@example.com,qcVfeJlbkyMumAk St,fsp-tt-NKsv,aIGILqzuoGrpoHWg,rsXWDiJOtr
5712-AHQNN,Female,0,No,No,jPFJldxuso,MKnKPykgHG@example.com,ZHKYilKozPexYlr St,NTY-kC-OoOb,DQyTspOpJqWBgZyc,quIrcUcnrt
4846-WHAFZ,Female,1,Yes,No,TsiavALrII,znzPoeGPjq@example.com,ZCDSgDQbqwnzXQQ St,ESF-WS-Xupr,PKVjfwjckgSGxNsF,vqsYLBMaEj
5256-SKJGO,Female,0,Yes,Yes,hkWiIChyus,ZxiaaErOVh@example.com,IXBOsEFtTLaEpxE St,BKz-xN-KEZM,NzawnYKcznLvXwDk,ZVyFEKJhde
3071-VBYPO,Male,0,Yes,Yes,OdEPjfBPiJ,CbmXvmyBAI@example.com,ehfppgKGEdCwMYQ St,jfB-dt-UNGs,MMPRDSZbdSNmstvl,ezaHNNFspa
9560-BBZXK,Female,0,No,No,ezzLMqVuyV,ENOQAlKVHR@example.com,JGPLwJLmACrnmja St,nLS-nV-ZZHl,tAWJLKnEEqZUXbSD,ektCYHiJTq
5299-RULOA,Female,0,Yes,Yes,oKuevaRySE,SwGqaodoxw@example.com,HwdiexmwakJlxJx St,XtV-ml-GCWY,VNMzcdftpVzitfUR,hMjVdKFoPX
8402-OOOHJ,Female,0,No,No,NrIVVrXqCI,dGsNMPLsRB@example.com,XgvjuNxTnWPbdGM St,xph-Kp-uyAF,xTZOiuRRCGjnqBbK,CgUDaVEVeV
9445-ZUEQE,Male,0,Yes,Yes,aWQSGZwRBq,qlfLrWbVnl@example.com,xBhoNiEeqrMMCwL St,ISD-cX-XYAb,lRAAkJGtlTDbxFrh,HDllVZqbJx
1091-SOZGA,Female,0,Yes,Yes,OuGJjAlWXP,HieQMoPnCd@example.com,mTdwUmqJZXdiUmu St,Zjo-PI-zJVA,BRZRlkpbbKnLLNVb,WrrgDwYAJs
2928-HLDBA,Female,0,No,No,iUDnmORRZT,MBqXVfkkEc@example.com,DskrrtTcxDnozcM St,ROb-ex-XYlj,dALGTlUeJoWzMAhO,zShRJMrGEF
0404-SWRVG,Male,0,No,No,AOSfvMXhPX,osSJMNitCQ@example.com,QoqlPXtOJxWWjSX St,jae-CQ-EkUz,PjfMDrSCIayWAWRk,JJtIXOuIcH
6497-TILVL,Female,0,Yes,Yes,kTIRconFUg,vcgcZUQTho@example.com,goDpICvzcaoiBnI St,ygp-ii-dbzj,PInUFyHuBoEzSmHm,nUaYtsMQSB
7219-TLZHO,Female,0,Yes,Yes,xLHyAvdXYk,DXDNXspQev@example.com,jAMqvJwXUlvhFEp St,MwB-KI-lQSP,eKGtoHnoZXsUYfzS,MTZHiAHwWv
4622-YNKIJ,Male,0,No,No,idMoNzmvFq,tnfxDaGnUu@example.com,ksqBcOUPBFvFXwI St,Unq-QF-oyFA,NTMExqVttCkNsceR,FzBmDCYUea
4412-YLTKF,Female,1,No,No,jerAhtQkOb,kHPVMFVQVX@example.com,cIZVKYueIwmiaho St,cho-eg-ehxS,xbBAeolSftILmCWG,xHAkrrQfAb
6734-PSBAW,Male,0,Yes,No,rnPriJbVdK,NderHztFQQ@example.com,LDNBwDcgrIIsdiF St,iSJ-OF-MZsM,hiobdMttnZeimODl,HraPyacWXH
3930-ZGWVE,Male,0,No,No,XVqQRbRPTS,mBnyNvPdPB@example.com,odrUsPxaBiXndij St,Hyk-jX-yoja,QhkVEMPCcEtPVYGM,NIXWMjpmoq
2639-UGMAZ,Male,1,No,No,SZevqrKFyE,gzTeNWWNWS@example.com,quoMxTdOjVmDrqv St,siR-Cf-JlFb,VERPvTiKtgFLEUZm,yINGCjDQxZ
2876-GZYZC,Female,0,No,No,disjhLCdKZ,gyDuqHYPCi@example.com,JOYVSyPjjphvAzU St,Brj-QY-gDuW,MlzKTfnduzpPIYrZ,byLkolQhGO
6207-WIOLX,Female,0,Yes,Yes,raKnjfujQQ,pJBpXafKMF@example.com,GKFgMBfnDdmdEcH St,uEi-PM-RqCM,zIDoyKlXDwijkecQ,RrUqKLKpiL
8587-XYZSF,Male,0,No,No,exSNoLVvbf,GjNAYPYzIW@example.com,OyQrpglKSCWTqqg St,nbM-Dn-oouA,QOhEbOsXpDtSEdlv,BawsEWCOFX
3091-FYHKI,Male,0,No,No,AukesfSgCY,nIZReMojgc@example.com,opEFhfSQXdvCsFJ St,aju-WN-yjKG,DPxIGNuARiemXZdn,upLAxApPAs
2372-HWUHI,Male,0,No,No,RGOzeGFMox,aQWAJmmwOk@example.com,qxtUKKYqVGDXGdC St,YPq-xX-OJPK,NUCUYBaGEqqfPLQI,dhpxoRgVLB
7799-LGRDP,Female,0,No,No,CrfjFNYGaW,VtyZdSpPrJ@example.com,szuKcgXxvBDJxfj St,WkA-pH-sLGW,aLfRqCoYFkYKwUjS,FPXFLAfSOS
7850-VWJUU,Female,0,No,No,GWdQPhWsfM,eKlarBqBaa@example.com,AeadTuHbyrJMGyL St,WvR-Zn-jiCQ,KYaXuLPubDXmmjre,rHWwhubaRF
3774-VBNXY,Female,0,Yes,Yes,UbSYWisPmd,YzcwxUifUG@example.com,LtZiwrIjNbaxDUl St,duM-mP-fsyg,ItXUpMTTSbRtZKpv,DoASlSIjIq
6217-KDYWC,Male,0,No,Yes,BKkmWZrMky,jdJsEEOLmx@example.com,pUQeMNTqAFeRhNJ St,rgr-CD-GCry,pektaKtVNsGbRYIp,cFTVCwMWrs
